name,title,image,description,type,index,date,license,pin,authors,tags,partners,partners-names,partners-images,references_catalog,reference-title
data-cooperation-internationale,Data et politiques de coopération internationale,/images/docs/data-cooperation-internationale.webp,Un cours complet sur les enjeux de la donnée pour les politiques de coopération internationale,Formation,1,2023-09-01,ccbysa,,"clement-mandron,cecile-le-guen","international,politique",,,,,
data-literacy,Data Literacy,/images/docs/data-literacy.jpeg,Introduction à une approche critique de la donnée,Formation,1,2018-02-01,ccbysa,,sylvain-lapoix,"visualisations,dataviz,fact checking",,,,,
data-spectrum-odi,"The Data Spectrum, par l'Open Data Institute",/images/docs/dataspectrum-odi-small.jpeg,Comprendre les différents degrés d'ouverture ou protection des données,Infographie,1,2018-07-20,ccbysa,,samuel-goeta,"vocabulaire,rgpd,gouvernance,licence,anonymisation",,,,,
data-transports-mali,Data Transport Mali,/images/docs/dtmali.jpeg,Faciliter l’accès aux données de transports interurbains en Afrique de l'Ouest,Cas pratique,1,2018-11-01,ccbysa,,"cecile-le-guen,etienne-pichot-damon","transports,international,afrique,usage,GTFS",,,,,
datagramme-1,"Données, données moi",/images/docs/donnees-moi.png,L'histoire de la donnée en deux minutes,Datagramme,1,2023-02-23,ccbysa,,"joel-gombin,clement-mandron","histoire,apprentissage,statistique",,,,,
datasheets-datasets,"Écrire les métadonnées - La méthode ""Datasheets for datasets""",/images/docs/datasheets-datasets.webp,Une liste de questions pour compléter pas à pas des métadonnées.,Guide,1,2023-10-27,ccbysa,,samuel-goeta,"documentation,méthode,métadonnées,qualité",,,,,
demo-doc,Démo d'un article,/images/docs/ouverture-commande-publique.webp,"Une description courte, en une phrase pour présenter le contenu",Formation,0,2023-05-10,ccbysa,,prenom-nom,"visualisations,dataviz,fact checking",partner-name,,,,
demo-open-refine,Demo Open Refine,/images/docs/demo-open-refine/openrefine.jpeg,"Démonstration de l'outil open refine, pour préparer et mettre en qualité des données",Guide,1,2022-01-01,ccbysa,,anne-laure-donzel,"outil,qualité,data science",ministere-culture,Ministère de la Culture,/images/partners/ministere-culture.jpeg,,
dix-choses-incroyables-opendata,Ces dix choses incroyables qui n’existeraient pas sans l’open data,/images/docs/10-choses-opendata.png,Introduction à une approche critique de la donnée,Formation,1,2019-06-24,ccbysa,,joel-gombin,"exemples,réutilisation,usages",,,,,
enjeux-donnees-urbaines,Enjeux politiques des données urbaines,/images/docs/enjeux-donnees-urbaines.jpeg,Pour une approche critique de la smart city,Formation,1,2021-03-08,ccbysa,,joel-gombin,"smart city,politique,ville intelligente,territoires",,,,,
enjeux-opendata-culture,Comprendre les enjeux de l’ouverture des données publiques culturelles,/images/docs/od-culture.jpeg,Appréhender le contexte et les opportunités d’une politique Open Data dans la culture.,Formation,1,2023-04-01,ccbysa,,anne-laure-donzel,"culture,stratégie",ministere-culture,Ministère de la Culture,/images/partners/ministere-culture.jpeg,,
evaluer-open-data,Comment évaluer une politique open data ?,/images/eval-opendata/eval-2.png,"Si l’objectif d’un portail open data est d’être consulté, c’est encore mieux quand les données sont vraiment utilisées.",Blog,1,2019-04-03,ccbysa,,etienne-pichot-damon,"strategie,audit,portail",,,,,
experimentation-algo-lille,Expérimentation d’ouverture des algorithmes publics à la Métropole Européenne de Lille,/images/docs/algo-lille/algo-lille.webp,Un retour d'expérience de la collectivité et de l'équipe Datactivist,Cas pratique,1,2022-12-07,ccbysa,,"anne-laure-donzel,myriam-limpens,hafid-ait-sidi-hammou","algorithmes,méthode,transformation,transparence",metropole-lille,Métropole Européenne de Lille,/images/partners/metropole-lille.jpeg,algo-mel,Accompagnement à l’ouverture d’algorithmes OpenAlgo
expo-smartcity-images,"En images - L'exposition ""Souriez, vous êtes captés""",/images/docs/expo-smartcity.jpeg,Une exposition qui décrypte la smart city,Galerie d‘images,1,2022-06-01,ccbysa,,"guillaume-martin,maelle-fouquenet","exposition,smart city,photos","civiteo,gens-evenement","CIVITEO, Gens d'évènements","/images/partners/civiteo.jpeg, /images/partners/gens-evenement.jpeg",,
factualite,Factualité / Factfulness,/images/docs/factualite.jpeg,Comment corriger ses mauvaises intuitions en utilisant les données ?,Formation,1,2019-11-28,ccbysa,,sylvain-lapoix,"visualisations,dataviz,fact checking",infolab-poitiers,Infolab du Grand Poitiers,/images/partners/infolab.jpeg,,
formation-oraccle,Projet ORACCLE - Programme complet de formation open data,/images/docs/formation-oraccle.png,Acculturer les universités à la donnée,Cas pratique,1,2022-11-15,ccbysa,,"maelle-fouquenet,clement-mandron,antoine-blanchard,arthur-sarazin","formation,culture générale,apprentissage,universités,dataviz,visualisations",,,,,
fresque-opendata-images,En images - La fresque des données ouvertes,/images/galleries/fresque-open-data/1.jpeg,Quelques photos des fresques réalisées,Galerie d‘images,1,2023-09-01,ccbysa,,"clement-mandron,maelle-fouquenet,magalie-dartus,samuel-goeta","atelier,photos",,,,,
greenpeace-crowdsourcing,Greenpeace et crowdsourcing des menus des cantines,/images/docs/greenpeace-cantines.jpeg,Retour sur une campagne open data pour repérer la viande dans les cantines,Cas pratique,1,2017-07-01,ccbysa,,"samuel-goeta,sylvain-lapoix","alimentation,crowdsourcing,cantines,médias,activisme",,,,,
identification-gisements-donnees,Identifier et évaluer les gisements de données,/images/docs/identification-gisements-donnees.jpeg,Une méthodologie éprouvée pour identifier des données et évaluer leur potentiel,Atelier,1,2022-11-15,ccbysa,,"samuel-goeta,clement-mandron","recherche,méthode,découvrabilité,gestion de projet,portail",,,,,
impact-ia-travail,Les grands impacts de l’IA et de la donnée sur le lieu de travail,/images/docs/ia-travail.jpeg,"Donnée, intelligence artificielle, amélioration des algorithmes - quel impact sur le travail ?",Formation,1,2022-05-01,ccbysa,,maelle-fouquenet,"IA,travail,transformation,prospective",,,,,
lexique-opendata,"Lexique  - L'open data, pour quoi faire ?",/images/docs/lexique-fondamentaux-od.jpeg,L'essentiel du vocabulaire de l'open data.,Formation,1,2023-04-11,ccbysa,,"clement-mandron,maelle-fouquenet,magalie-dartus,samuel-goeta","vocabulaire,définition,rgpd",bercy-hub,Bercy Hub,/images/partners/mefr.jpeg,,
